FID,New_ID,SUM_area_K,SUM_POP_M_,SUM_POP_F_,SUM_POP_TO,SUM_POP_19,SUM_BRIT_E,SUM_BRIT_I,SUM_BRIT_S,SUM_BRIT_O,SUM_FRENCH,SUM_GERMAN,SUM_AUSTRO,SUM_BELGIA,SUM_BULGAR,SUM_CHINES,SUM_DUTCH_,SUM_GREEK_,SUM_HINDU_,SUM_INDIAN,SUM_ITALIA,SUM_JAPANE,SUM_JEWISH,SUM_NEGRO_,SUM_POLISH,SUM_RUSSIA,SUM_SCANDI,SUM_SWISS_,SUM_UNSPEC,R_CODE
25,NB028000,4720.822750149999600,12435.000000000000000,11941.000000000000000,24376.000000000000000,23958.000000000000000,2411.000000000000000,1397.000000000000000,2786.000000000000000,4.000000000000000,17436.000000000000000,19.000000000000000,1.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,284.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9.000000000000000,5.000000000000000,13.000000000000000,26
26,NB029000,5493.925932080000200,15470.000000000000000,14815.000000000000000,30285.000000000000000,32580.000000000000000,16064.000000000000000,8044.000000000000000,3697.000000000000000,126.000000000000000,357.000000000000000,1214.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,552.000000000000000,0.000000000000000,0.000000000000000,67.000000000000000,7.000000000000000,0.000000000000000,37.000000000000000,19.000000000000000,2.000000000000000,0.000000000000000,63.000000000000000,4.000000000000000,31.000000000000000,27
27,NB030000,12450.091201900001000,16150.000000000000000,15044.000000000000000,31194.000000000000000,28543.000000000000000,5851.000000000000000,8825.000000000000000,8720.000000000000000,17.000000000000000,6818.000000000000000,45.000000000000000,27.000000000000000,0.000000000000000,0.000000000000000,6.000000000000000,27.000000000000000,0.000000000000000,0.000000000000000,363.000000000000000,1.000000000000000,0.000000000000000,83.000000000000000,12.000000000000000,43.000000000000000,3.000000000000000,106.000000000000000,7.000000000000000,240.000000000000000,28
28,NB031000,8649.514704240000400,8434.000000000000000,7253.000000000000000,15687.000000000000000,10586.000000000000000,1917.000000000000000,1826.000000000000000,3455.000000000000000,18.000000000000000,8136.000000000000000,38.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,10.000000000000000,28.000000000000000,0.000000000000000,0.000000000000000,57.000000000000000,11.000000000000000,0.000000000000000,16.000000000000000,1.000000000000000,0.000000000000000,15.000000000000000,112.000000000000000,1.000000000000000,44.000000000000000,29
29,NB032000,1605.180787270000100,26082.000000000000000,27490.000000000000000,53572.000000000000000,51759.000000000000000,16380.000000000000000,19175.000000000000000,6626.000000000000000,235.000000000000000,995.000000000000000,428.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,53.000000000000000,298.000000000000000,32.000000000000000,1.000000000000000,1.000000000000000,20.000000000000000,0.000000000000000,676.000000000000000,322.000000000000000,13.000000000000000,22.000000000000000,246.000000000000000,12.000000000000000,8033.000000000000000,30
30,NB033000,6839.237961709999600,8986.000000000000000,8130.000000000000000,17116.000000000000000,16906.000000000000000,6134.000000000000000,5957.000000000000000,2473.000000000000000,182.000000000000000,347.000000000000000,259.000000000000000,4.000000000000000,69.000000000000000,0.000000000000000,0.000000000000000,571.000000000000000,0.000000000000000,0.000000000000000,179.000000000000000,94.000000000000000,0.000000000000000,0.000000000000000,184.000000000000000,1.000000000000000,3.000000000000000,38.000000000000000,0.000000000000000,621.000000000000000,31
31,NB034000,9204.550253060000600,15086.000000000000000,13136.000000000000000,28222.000000000000000,21136.000000000000000,4055.000000000000000,2333.000000000000000,1757.000000000000000,15.000000000000000,18480.000000000000000,40.000000000000000,28.000000000000000,0.000000000000000,99.000000000000000,1.000000000000000,172.000000000000000,1.000000000000000,0.000000000000000,220.000000000000000,178.000000000000000,0.000000000000000,40.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,589.000000000000000,0.000000000000000,209.000000000000000,32
32,NB035000,3820.192243560000000,22703.000000000000000,21918.000000000000000,44621.000000000000000,42060.000000000000000,18035.000000000000000,3484.000000000000000,4127.000000000000000,80.000000000000000,17081.000000000000000,727.000000000000000,3.000000000000000,0.000000000000000,1.000000000000000,3.000000000000000,476.000000000000000,5.000000000000000,1.000000000000000,75.000000000000000,31.000000000000000,0.000000000000000,68.000000000000000,35.000000000000000,3.000000000000000,0.000000000000000,99.000000000000000,4.000000000000000,283.000000000000000,33
33,NB036000,9387.830221439999100,16125.000000000000000,15436.000000000000000,31561.000000000000000,31620.000000000000000,14173.000000000000000,7925.000000000000000,5969.000000000000000,535.000000000000000,711.000000000000000,123.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,8.000000000000000,1252.000000000000000,2.000000000000000,0.000000000000000,205.000000000000000,11.000000000000000,0.000000000000000,23.000000000000000,371.000000000000000,1.000000000000000,3.000000000000000,43.000000000000000,2.000000000000000,203.000000000000000,34
34,NL001000,53924.916547599998000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,35
