"FID_","FIPSSTCO","TRT2000","STFID","OID_","SCTRACTW","FIPSPLACEW","CENSUSPLW","SCTRACTR","FIPSPLACER","CENSUCPLR","TRACTTOTRA","STFID_1","ID_ID","Distance"
,"11001","007709","11001007709",2190,51059480200.0000,79952,1252,11001007709.0000,50000,5,15,"11001007709",8370.000000,0.000411
,"24003","740500","24003740500",774,51059460400.0000,79952,1252,24003740500.0000,99999,9999,35,"24003740500",41262.000000,0.002076
,"24003","740104","24003740104",2244,51059480200.0000,79952,1252,24003740104.0000,71150,884,15,"24003740104",41329.000000,0.009638
,"24003","750400","24003750400",1237,51059460500.0000,23984,423,24003750400.0000,47125,577,4,"24003750400",41450.000000,0.002927
,"24003","750801","24003750801",2252,51059480200.0000,79952,1252,24003750801.0000,28075,344,4,"24003750801",41561.000000,0.002187
,"24003","730503","24003730503",2236,51059480200.0000,79952,1252,24003730503.0000,73550,922,10,"24003730503",41741.000000,0.005573
,"24003","708000","24003708000",2235,51059480200.0000,79952,1252,24003708000.0000,99999,9999,4,"24003708000",42038.000000,0.002108
,"24003","730604","24003730604",1445,51059460500.0000,79952,1252,24003730604.0000,71200,885,10,"24003730604",42174.000000,0.016909
,"24003","730700","24003730700",2239,51059480200.0000,79952,1252,24003730700.0000,71200,885,4,"24003730700",42194.000000,0.012267
,"24003","731103","24003731103",773,51059460400.0000,79952,1252,24003731103.0000,99999,9999,10,"24003731103",42232.000000,0.009222
,"24003","702402","24003702402",2229,51059480200.0000,79952,1252,24003702402.0000,60325,751,15,"24003702402",42256.000000,0.004019
,"24003","701101","24003701101",2225,51059480200.0000,79952,1252,24003701101.0000,66400,832,4,"24003701101",42267.000000,0.012750
,"24003","701102","24003701102",285,51059471200.0000,79952,1252,24003701102.0000,47925,592,25,"24003701102",42284.000000,0.006332
,"24003","706500","24003706500",1442,51059460500.0000,79952,1252,24003706500.0000,1600,11,15,"24003706500",42369.000000,0.003204
,"24003","706402","24003706402",1441,51059460500.0000,79952,1252,24003706402.0000,1600,11,10,"24003706402",42401.000000,0.011613
,"24003","706101","24003706101",2233,51059480200.0000,79952,1252,24003706101.0000,1600,11,4,"24003706101",42407.000000,0.001298
,"24003","701400","24003701400",1439,51059460500.0000,79952,1252,24003701400.0000,99999,9999,4,"24003701400",42505.000000,0.002635
,"24003","702601","24003702601",1440,51059460500.0000,79952,1252,24003702601.0000,39300,502,10,"24003702601",42534.000000,0.036184
,"24003","702602","24003702602",14,51059471200.0000,48376,772,24003702602.0000,99999,9999,10,"24003702602",42541.000000,0.066354
,"24003","707002","24003707002",772,51059460400.0000,79952,1252,24003707002.0000,22050,250,10,"24003707002",42670.000000,0.041879
,"24003","740700","24003740700",2249,51059480200.0000,79952,1252,24003740700.0000,58300,710,10,"24003740700",42862.000000,0.025967
,"24003","731303","24003731303",2242,51059480200.0000,79952,1252,24003731303.0000,99999,9999,10,"24003731303",42910.000000,0.024266
,"24003","702500","24003702500",2230,51059480200.0000,79952,1252,24003702500.0000,99999,9999,4,"24003702500",42957.000000,0.015004
,"24003","731001","24003731001",289,51059471200.0000,79952,1252,24003731001.0000,12912,124,4,"24003731001",43012.000000,0.014559
,"24003","740301","24003740301",290,51059471200.0000,79952,1252,24003740301.0000,71150,884,10,"24003740301",43180.000000,0.004908
,"24003","740601","24003740601",2248,51059480200.0000,79952,1252,24003740601.0000,29400,349,4,"24003740601",43192.000000,0.011074
,"24003","731311","24003731311",2035,51059480200.0000,48376,772,24003731311.0000,34975,437,10,"24003731311",43252.000000,0.007248
,"24003","702700","24003702700",2232,51059480200.0000,79952,1252,24003702700.0000,60325,751,15,"24003702700",43300.000000,0.017458
,"24003","730601","24003730601",1444,51059460500.0000,79952,1252,24003730601.0000,71200,885,10,"24003730601",43315.000000,0.011571
,"24003","702202","24003702202",286,51059471200.0000,79952,1252,24003702202.0000,20875,243,4,"24003702202",43358.000000,0.014841
,"24003","740103","24003740103",2243,51059480200.0000,79952,1252,24003740103.0000,71150,884,4,"24003740103",43578.000000,0.008487
,"24003","740800","24003740800",2250,51059480200.0000,79952,1252,24003740800.0000,99999,9999,10,"24003740800",43654.000000,0.001734
,"24003","701300","24003701300",771,51059460400.0000,79952,1252,24003701300.0000,99999,9999,10,"24003701300",43700.000000,0.027347
,"24003","730504","24003730504",1443,51059460500.0000,79952,1252,24003730504.0000,73550,922,10,"24003730504",43724.000000,0.017101
,"24005","402507","24005402507",291,51059471200.0000,79952,1252,24005402507.0000,59425,740,10,"24005402507",43835.000000,0.019365
,"24005","410100","24005410100",292,51059471200.0000,79952,1252,24005410100.0000,99999,9999,10,"24005410100",43979.000000,0.026371
,"24005","404202","24005404202",2257,51059480200.0000,79952,1252,24005404202.0000,59425,740,15,"24005404202",44009.000000,0.012683
,"24005","403400","24005403400",775,51059460400.0000,79952,1252,24005403400.0000,61400,765,4,"24005403400",44098.000000,0.001157
,"24005","403802","24005403802",776,51059460400.0000,79952,1252,24005403802.0000,61400,765,4,"24005403802",44126.000000,0.010070
,"24005","403500","24005403500",1447,51059460500.0000,79952,1252,24005403500.0000,61400,765,4,"24005403500",44129.000000,0.010622
,"24005","402403","24005402403",2254,51059480200.0000,79952,1252,24005402403.0000,47450,579,4,"24005402403",44198.000000,0.006063
,"24005","408505","24005408505",2258,51059480200.0000,79952,1252,24005408505.0000,48900,597,4,"24005408505",44305.000000,0.006572
,"24005","490301","24005490301",1450,51059460500.0000,79952,1252,24005490301.0000,78425,975,15,"24005490301",44442.000000,0.003143
,"24005","491702","24005491702",1451,51059460500.0000,79952,1252,24005491702.0000,13325,129,4,"24005491702",44561.000000,0.008846
,"24005","451500","24005451500",2259,51059480200.0000,79952,1252,24005451500.0000,52300,615,4,"24005451500",45041.000000,0.009771
,"24005","451600","24005451600",2260,51059480200.0000,79952,1252,24005451600.0000,52300,615,4,"24005451600",45044.000000,0.004773
,"24027","602700","24027602700",2318,51059480200.0000,79952,1252,24027602700.0000,26000,325,4,"24027602700",45087.000000,0.014546
,"24005","420900","24005420900",293,51059471200.0000,79952,1252,24005420900.0000,23975,275,4,"24005420900",45527.000000,0.010559
,"24005","452400","24005452400",2261,51059480200.0000,79952,1252,24005452400.0000,23975,275,4,"24005452400",45582.000000,0.000517
,"24005","403702","24005403702",2256,51059480200.0000,79952,1252,24005403702.0000,31625,401,4,"24005403702",45732.000000,0.005753
,"24005","490400","24005490400",2262,51059480200.0000,79952,1252,24005490400.0000,78425,975,4,"24005490400",45919.000000,0.008828
,"24005","402603","24005402603",2255,51059480200.0000,79952,1252,24005402603.0000,64950,820,10,"24005402603",46040.000000,0.013455
,"24005","403701","24005403701",1449,51059460500.0000,79952,1252,24005403701.0000,31625,401,10,"24005403701",46098.000000,0.001829
,"24005","490800","24005490800",2263,51059480200.0000,79952,1252,24005490800.0000,78425,975,4,"24005490800",46236.000000,0.006939
,"24005","400400","24005400400",2253,51059480200.0000,79952,1252,24005400400.0000,14125,140,15,"24005400400",46256.000000,0.003576
,"24005","403602","24005403602",1448,51059460500.0000,79952,1252,24005403602.0000,61400,765,10,"24005403602",46437.000000,0.004506
,"24009","861001","24009861001",2269,51059480200.0000,79952,1252,24009861001.0000,99999,9999,10,"24009861001",46579.000000,0.022717
,"24009","861002","24009861002",2270,51059480200.0000,79952,1252,24009861002.0000,16062,167,10,"24009861002",46603.000000,0.026208
,"24009","860102","24009860102",2265,51059480200.0000,79952,1252,24009860102.0000,99999,9999,4,"24009860102",46643.000000,0.006876
,"24009","860300","24009860300",777,51059460400.0000,79952,1252,24009860300.0000,59375,739,4,"24009860300",46669.000000,0.029177
,"24009","860402","24009860402",778,51059460400.0000,79952,1252,24009860402.0000,15925,160,4,"24009860402",46770.000000,0.022018
,"24009","860600","24009860600",297,51059471200.0000,79952,1252,24009860600.0000,99999,9999,4,"24009860600",46786.000000,0.014268
,"24009","860502","24009860502",779,51059460400.0000,79952,1252,24009860502.0000,99999,9999,10,"24009860502",46843.000000,0.033609
,"24009","860501","24009860501",296,51059471200.0000,79952,1252,24009860501.0000,41037,506,4,"24009860501",46878.000000,0.003464
,"24009","860401","24009860401",295,51059471200.0000,79952,1252,24009860401.0000,99999,9999,4,"24009860401",46917.000000,0.002065
,"24009","860101","24009860101",294,51059471200.0000,79952,1252,24009860101.0000,24062,277,4,"24009860101",46980.000000,0.016766
,"24009","860900","24009860900",1453,51059460500.0000,79952,1252,24009860900.0000,99999,9999,4,"24009860900",46994.000000,0.017547
,"24009","860703","24009860703",15,51059471200.0000,48376,772,24009860703.0000,99999,9999,15,"24009860703",47171.000000,0.003890
,"24013","511000","24013511000",16,51059471200.0000,48376,772,24013511000.0000,99999,9999,4,"24013511000",48580.000000,0.006251
,"24013","514100","24013514100",2273,51059480200.0000,79952,1252,24013514100.0000,99999,9999,4,"24013514100",48869.000000,0.003630
,"24013","513000","24013513000",2271,51059480200.0000,79952,1252,24013513000.0000,53875,645,10,"24013513000",49390.000000,0.016450
,"24017","851002","24017851002",782,51059460400.0000,79952,1252,24017851002.0000,45750,550,10,"24017851002",51687.000000,0.001420
,"24017","850802","24017850802",1458,51059460500.0000,79952,1252,24017850802.0000,99999,9999,4,"24017850802",51711.000000,0.017791
,"24017","850705","24017850705",1238,51059460500.0000,23984,423,24017850705.0000,69350,858,10,"24017850705",51723.000000,0.016353
,"24017","850905","24017850905",2286,51059480200.0000,79952,1252,24017850905.0000,69350,858,30,"24017850905",51761.000000,0.009998
,"24017","851400","24017851400",1461,51059460500.0000,79952,1252,24017851400.0000,99999,9999,4,"24017851400",51849.000000,0.022749
,"24017","850300","24017850300",18,51059471200.0000,48376,772,24017850300.0000,99999,9999,4,"24017850300",51875.000000,0.011797
,"24017","850100","24017850100",780,51059460400.0000,79952,1252,24017850100.0000,10925,111,4,"24017850100",51944.000000,0.001333
,"24017","850701","24017850701",1456,51059460500.0000,79952,1252,24017850701.0000,6615,54,4,"24017850701",52151.000000,0.002687
,"24017","850901","24017850901",781,51059460400.0000,79952,1252,24017850901.0000,69350,858,10,"24017850901",52156.000000,0.008991
,"24017","850202","24017850202",17,51059471200.0000,48376,772,24017850202.0000,63375,793,4,"24017850202",52198.000000,0.007410
,"24017","850704","24017850704",2282,51059480200.0000,79952,1252,24017850704.0000,69350,858,25,"24017850704",52218.000000,0.021563
,"24017","850702","24017850702",1457,51059460500.0000,79952,1252,24017850702.0000,81175,1005,15,"24017850702",52241.000000,0.003879
,"24017","850100","24017850100",780,51059460400.0000,79952,1252,24017850100.0000,10925,111,4,"24017850100",52272.000000,0.006089
,"24017","850400","24017850400",2277,51059480200.0000,79952,1252,24017850400.0000,99999,9999,4,"24017850400",52353.000000,0.011699
,"24017","850500","24017850500",1455,51059460500.0000,79952,1252,24017850500.0000,99999,9999,10,"24017850500",52505.000000,0.020944
,"24017","850902","24017850902",1459,51059460500.0000,79952,1252,24017850902.0000,69350,858,10,"24017850902",52646.000000,0.009497
,"24017","851300","24017851300",1460,51059460500.0000,79952,1252,24017851300.0000,99999,9999,15,"24017851300",52756.000000,0.011870
,"24021","752600","24021752600",302,51059471200.0000,79952,1252,24021752600.0000,9100,87,10,"24021752600",53708.000000,0.011335
,"24021","751200","24021751200",300,51059471200.0000,79952,1252,24021751200.0000,30325,355,4,"24021751200",53806.000000,0.029582
,"24021","750502","24021750502",2290,51059480200.0000,79952,1252,24021750502.0000,30325,355,4,"24021750502",53852.000000,0.006018
,"24021","750501","24021750501",298,51059471200.0000,79952,1252,24021750501.0000,30325,355,10,"24021750501",53856.000000,0.006562
,"24021","750600","24021750600",1462,51059460500.0000,79952,1252,24021750600.0000,30325,355,4,"24021750600",53891.000000,0.006441
,"24021","751700","24021751700",20,51059471200.0000,48376,772,24021751700.0000,47043,575,4,"24021751700",53977.000000,0.003340
,"24021","751900","24021751900",2297,51059480200.0000,79952,1252,24021751900.0000,47043,575,25,"24021751900",54092.000000,0.006207
,"24021","751800","24021751800",785,51059460400.0000,79952,1252,24021751800.0000,99999,9999,4,"24021751800",54106.000000,0.039435
,"24021","752500","24021752500",2301,51059480200.0000,79952,1252,24021752500.0000,99999,9999,20,"24021752500",54263.000000,0.001789
,"24021","752300","24021752300",1465,51059460500.0000,79952,1252,24021752300.0000,99999,9999,10,"24021752300",54375.000000,0.019475
,"24021","752800","24021752800",2305,51059480200.0000,79952,1252,24021752800.0000,54875,657,4,"24021752800",54556.000000,0.015239
,"24021","751300","24021751300",2293,51059480200.0000,79952,1252,24021751300.0000,99999,9999,20,"24021751300",54659.000000,0.015677
,"24021","752000","24021752000",786,51059460400.0000,79952,1252,24021752000.0000,35412,447,10,"24021752000",54706.000000,0.002730
,"24021","753200","24021753200",1467,51059460500.0000,79952,1252,24021753200.0000,26200,330,4,"24021753200",54754.000000,0.006500
,"24021","751500","24021751500",1463,51059460500.0000,79952,1252,24021751500.0000,86750,1060,4,"24021751500",54804.000000,0.000142
,"24021","751600","24021751600",301,51059471200.0000,79952,1252,24021751600.0000,99999,9999,4,"24021751600",54857.000000,0.005433
